Timestamp,"How did your conversation go?  Was it serious? Lighthearted? Humorous, or fun? Were you talking with friends, or family members, or acquaintances? ",How would you change this app to create the kind of conversation you want to have? ,Did something break? ,Did you experience any glitches with the app?,,"If you are a UW student using this app for a class, please enter your student ID",What events or questions did you find sparked the most conversation? Why? Where did those questions take your conversation? 
11/26/2017 15:05:50,Most of our conversation was lighthearted because all participants were my family members who all believe in climate change and that actions must be taken to counteract its negative effects. Our conversation did become more serious when we discussed the irreversible damage that may have already been caused by climate change.,I would have the user answer a few simple yes or no answers regarding beliefs on climate change so the discussion questions could be more tailored to them personally.,,"No, it worked well.",,1677318,"The event which most sparked our conversation was the recent drought in California because this was an event so obviously caused by climate change yet some people, most notably our president, deny the existence of climate change. This sparked our conversation because my family all agreed that current policy is not doing enough so we talked a lot about what could be done to change that. This ended up leading to a conversation about being politically active in order to make positive changes in the government. "
11/26/2017 15:46:16,"I thought that my conversation with my family members went a lot better than expected. I came into it thinking that it would be sort of awkward since everyone has different views on climate change but after we had the discussion I can definitely say it was worthwhile.  All of the members of the conversation were family members. It was my mom, uncle, and cousin. Surprisingly, all of them knew information about the current global warming events that are occurring right now. The conversation was in the middle of light-hearted and serious. Because it was Thanksgiving, everyone was in a joyful mood but in reality, when it comes down to talking about climate change, you cannot take the conversation light-hearted one bit.  
We spent well over an hour discussing the impacts not only on our personal lives but people that live in other countries as well. I was able to talk about how I have learned so much in the ATM S 111 course about the impacts of global warming and how Dargan plays his songs after every class period. He truly has made the class an interesting one and a fun environment to be and I was able to relay that to my family members. They all seemed interested and wished they would’ve taken a class similar when they were in college. I think we all realized it’s important to understand the circumstances and current events that surround the topic of global warming and we had productive conversations emphasizing key factors that influence climate change.
","I thought the app was really innovative and fun to use. It created great topics of conversation about global warming that are important to have. One thing that could be possible to change in the app is it could designate turns for each person playing. I found that right when the question was asked, nobody really wanted to take it on so I would get it started every time and talk about the issues and used what have learned in class. If there were designated turns in the game, peoples real feelings might come out about the topic and could lead to more active conversations between everyone in the group. 
One kind of crazy idea that I thought of could be to put a timer on the question. We could split the time evenly so everyone would get their say on the issue so we could hear and respect everyone’s opinion. This could spark more conversation as well because everyone has different thoughts and ideas and I think giving them the time to share is an important aspect of having a great conversation. Overall though, I do think this app is a great way to start talking about climate change with family and friends and gave great questions for conversation. 
",,"There were no glitches that I experienced with the app while having our conversation. I decided to use a computer instead of a phone and the computer worked out great. I did not try the phone version, I would assume it’s the same, but was well generated and the app performed perfectly fine. ",,1732958,"There were definitely some questions that the app presented that sparked great conversation. The first one was the thought of how humans are directly impacting the climate right now. My mom and uncle both knew that it was a problem but did not think it was as big as it really is. I was able to explain to them that ever since the industrial revolution, CO2 levels have been rising at a rate that we have never seen before. Anthropogenic climate change has really amplified the warming to another level where it is been dramatically affecting ecosystems and populations of animals. My cousin who was also in the conversation didn’t really believe that human-caused global warming was a thing. He thought it was a hoax made up by scientists and the media. I respected his opinion because I didn’t want to get into a huge argument at Thanksgiving, but I did recommend him to watch Al Gore’s Inconvenient Truth, which has some great facts about human-caused global warming. This question sparked conversation because there was a difference in opinions between people.  
The second question that sparked conversation was about how solar and wind power are beginning to replace coal in many parts of the world. This was a topic that we all agreed was a good thing. We looked at the pros and cons when analyzing the situation. The pros that we came up with include: solar and wind are green and renewable energy sources and have way less of an impact (if at all) on global warming compared to coal. Coal has a terrible effect on surrounding ecosystems as well as releasing particles into the atmosphere which have a negative effect on the climate. Coal is also nonrenewable energy source and the ash that is produced is a hazardous product for workers. Cons that we came up with include: the price of inputting these solar and wind energy systems can be expensive. But, if you truly want to improve the global warming problem, it’s a price you have to pay. Secondly, it would put a lot of coal miners out of work which could have a devastating effect on the economy. Overall, we thought that the pros outweighed the cons in this situation.
"
11/26/2017 16:20:11,"I enjoyed the experience that this app created. Climate change is a topic that is now gaining momentum, but not often talked about with your family. As for our conservation, it certainly had moments of gravity and seriousness, but usually it had more of a lighthearted feeling. Some of the questions, such as the ones regarding strong winters and summers of the past, sparked memories of what we did during those time periods. These moments gave the conversations a cheerful and happy feelings. 

Overall, our conservation was a fun, but mainly informative.It was certainly interesting to see many different points of view, especially considering the age difference of myself and my parents. They were able to present new information and experiences from a few decades ago that I am unaware of. They certainly have seen more attention surrounding the topic of climate change, but haven't really noticed it in real life yet. For example, the change in temperature or sea level rise hasn't affected their lifestyle. ","I think that is important to remember what has happened in the past and present that information with certain facts. As for sparking more serious conversations, I think that questions regarding future adaptations are more helpful. The questions that raised areas of problems for the future allowed for a debate. Therefore, I would include more questions surrounding what can be done in the future to adapt to or mitigate climate change. 

I actually enjoyed the style of the app, where it presented questions. However, some of the questions were quite simple and one-dimensional. These questions lead to quick answers and quickly moving along though the application, therefore less of a conservation. Additionally, to help make the more application more interesting, including important climate change models, graphs, and tables may help analyze and interpret what has and will happen surrounding the topic of climate change.  ",,I did not have any problems with glitches with the app. ,,1630311,"First, the questions regarding specific summers or winters in the past sparked the most fun and lighthearted conversations. Those winters or summers were often filled with fun events and activities, and therefore leading our conversations to cheerful family memories. Since we live in the Pacific Northwest we tend to have a milder winters and summers than elsewhere in the United States. Therefore, the severity of our seasons are not as damaging as many other places, such as the drought in California. 

Secondly, the questions regarding future adaptions towards climate change caused the most serious conversations. These questions took our conversations towards a more of a debate and back and forth type feeling. Climate change is expected to more serious in the future which also led to more a more serious conservation. Climate change can have a large impact on future decisions, such as where to settle and begin a family. However, I believe that the Seattle is in a decent position regarding temperatures swings in the future. It is important to be aware of possible flooding with sea level rise though.   "
11/26/2017 20:31:29,Discussed with my parents and husband. The discussion was a mixture of serious and fun. My parents learned a lot they didn't know regarding climate change.,"The app was very basic, and honestly was pretty confusing as far as who was being presented with the question. Personally I would like to see the app to be more like a game, and more entertaining. The app wasn't very helpful during the conversation, really the only thing it did was provide the beginning question.",,"The app is very simple, but very confusing. I'm not sure.",,1774002,"Questions about ozone created a lot of questions. My parents were under the impression that ozone hole was created because of global warming. This took the conversation do what are green house gasses, and what do they actually do. This raised a lot more questions, especially from my mom, about how much temperature is changing and ocean levels rising. This new information was very alarming to my parents and family members because they live in Japan directly on the coast in a fishing centered village. Ocean acidification is a big problem for that industry."
11/26/2017 22:24:19,"It was serious, but lighthearted because it was with good friends. It was like talking about stories that are part of life that never really gets talked about in relations to global warming. ","The app started the conversations by asking a question, but I wished there were some sort of interact ways that continued to make the group get deeper into issues. Maybe have the audience type some key words or phases to each question, so that the app can generate some sort of feedback. ",,"Yes. I tried to open the link on my phone and there was an error message, however it worked on a computer. Even on a computer, it would restart the whole process in the middle of displaying questions.",,1725061,"The questions about the drought in California sparked the most conversation because we have all visited the state and noticed different things. In which, it all somehow connected to global warming, like how they had interesting plants but we never thought about it in correlation to global warming. We put things in perspective about how it's an serious issue, but it can also affect things in the smallest way."
11/27/2017 3:10:32,"The conversation started out fairly lighthearted, but as the conversation got more data heavy and more political, the mood seemed to quickly turn serious. However, because the group of people who were having the conversation were all family, the conversation stayed relatively respectful and open to other peoples opinions. 
The four people who were in the conversation were my mother, my father, my sister, and I. Me and my sister vary greatly compared to that of my parents on the topic of climate change and global warming, so it was very interesting to hear the difference in opinion and the difference in facts that were brought up by both sides. There was a point in the conversation where the topic moved more towards politics and less toward climate change, but eventually it returned towards its intended topic.","There are two main ways I would change the app in order to create more of the conversation I would like to have. Firstly, I think that it would benefit the app if some of the conversation could be game based so that people could have 1 on 1  conversations between themselves and the app. For example, you could create a true or false game on the app in which the participant has to identify whether the fact presented is true or false. This way, people would be more engaged because the app would be more fun, and people could learn more about climate change in a fun way, even if they are not with other people to talk about it. 
      Secondly, I would try to bring more areas of argument into the conversation. Although the basis of climate change and global warming are purely scientific, they impact other areas of society, including domestic politics, international politics, and every day ecological habits of people including recycling and hybrid cars. It would be cool if the app could somehow include an option to differentiate the type of conversation you could have (scientific, political, etc.) and also include a flow chart that could help people with their arguments in case they are confused about something or want to learn about the other argument to increase their open-mindedness.  ",,Nope. The app ran fine and it is a great app to start conversation about climate change and global warming. ,,1629193,"The question that seemed to spark the most conversation was the question that asked about the drought that happened in California and also asked about Folsom Lake. The reason that the question brought about much conversation was because every person in the conversation had a different opinion and different reasons as to why they felt they were right. When the question talked about which would be harder, a drought or a flood, the people in the conversation cited the fact that a drought would be easier because you could transport water in from other areas. But then the question was postulated about what if the water could not be transported because those areas were also in a drought, and that in turn brought about more conversation. 
      This question eventually led the conversation to a more political discussion. It shifted from droughts and floods to the preparedness level that the government has for it citizens in case of either of these and also how why the current presidential regime is pulling out of all the climate change agreements, especially the Paris Climate Agreement? The answers that were said in response to this was that the current Presidential is not focused on climate change or global warming, and instead is more interested in rebuilding the economic structure of the country, no matter what we have to do to the environment. Furthermore, it was cited that the government should run more emergency preparedness drills and create more plans for citizens in case one of these things does happen.  "
11/27/2017 10:13:55,"My group consisted of close friends and my sister. Overall, it was more informative and light hearted than a serious discussion. ",I would put in a scale from 1-10 to determine which climate problem each individual participating would feel like is a bigger problem than it should be. It would take into consideration of how each individual playing feels is a bigger issue than normal. Then we can discuss each score and explain why we put in this score. ,,No,,1134803,"The question that we all contributed most discussion was when we were asked if people should be charged for pollution emission. Half the group was for this idea because big businesses who contribute more pollution should definitely pay the bigger price. However, the other half of the group argued that while everyone probably emits pollution numerous times in their lifetime, there would be no way to measure the amount of pollution emitted and no way to make a fair amount to charge an individual. "
11/27/2017 11:23:45,"It was a mix of both - I think everyone around the table was already pretty clued up on climate change and its impacts and hence our conversations spiralled out into other issues which were related. Family and close friends - all highly educated. Being post-thanksgiving we were all pretty relaxed (full and merry!!) so the conversation wasn't necessarily hugely serious.
We definitely enjoyed the game at first, but 2 people tapped out of the game after 2 rounds because it was a bit tedious and its hard to get everyone sat down in one place doing the game. Its obviously educational which is a turnoff for people who are at a dinner party to be social. 
I would also say we were preaching to the choir, as such, because we are all very in tune with current issues and hence 'sparking conversations' which were already happening. ","I think it would be fun to maybe have a few fill in the blanks in the app to force the conversation without being too specific. Like ""how much of the world's energy comes from coal now"" after the question about what it was in 1930s. Maybe also some pictures etc to make it more visual. Maybe even a way to use the game on more than one person's phone so its not like one person dictating the conversation (can be hard to keep everyone around the table focussed).
Also I think some of the fact paragraphs (e.g. the one about the Great Flood of the 90s) were interesting but very long and full of numbers. Its hard to quantify how much that is when you're just sat at a dinner table. Perhaps shortening them and putting the other information into a more interactive fill in the blank or similar.",,Nope!,,1773199,"It was interesting to know that when my mom was young (13) the national renewable energy thing was started - we didn't realise that people were concerned with renewables that long ago. I think we assumed that it was more of a recent thing. We ended up googling when renewables really took off and when people realised that climate change could be attributed to anthropogenic causes. 
These conversations were interesting because we did new things about the issues, but again we were preaching to the choir. Conversations died after a few minutes in each round and then we moved on. 
Conversations other than this one felt forced because I was leading the group into thinking a certain way and it wasn't hugely interactive other than a question every couple of minutes. "
11/27/2017 11:34:47,"	My conversation was with family: two of my sisters, one of which is also in ATM S 111, and my brother eventually joined later on. All topics that we discussed were rather short and to the point, as we found that not many questions were very thought-provoking, and we almost always agreed with each other on what the ‘correct’ answer was, requiring no additional discussion.
	The talks were generally lighthearted, though not in a fun sort of way. There was no joking around, but it wasn’t as serious as one may expect when talking about the tragedies of hurricanes/extended droughts/etc. Our conversations were very detached from thoughts of humanity and pathos; everything was approached from a logical/statistical point of view.","	I think the most this game could benefit from is putting more time into thoughtful questions. Some questions that we got, such as “How do you feel about the fact that solar and wind power are growing and replacing coal in many parts of the world?”, were answered simply with a “good.” We found no further elaboration useful. And others, such as “What do you think it would be like to work in a coal mine?”, seemed too foreign compared to everyday life, that with little emotional connection or insight of how coal mining really works, all we could really say was “It would probably suck.” Some questions were really good, such as “Do you expect that the growth in human population will have an impact on you, personally?” From what I can tell, the more open-ended questions require more thinking to evaluate, and, like mentioned in the previous prompt, the contrasting two scenarios was interesting because it forces us to put ourselves in that scenario.
	Although I can see that the factoids given before the question are a way to give emphasis of the reality of these questions and in some ways put us in that scenario, I found that it wasn’t a very effective method in doing that. I would recommend implementing a short clip of a video in addition. For example, a video about the poor health of coal miners paired with the coal mining question. Not only give something to comment on and implement into our arguments, but also puts the humanity back into the mix, adding emphasis to the fact that this is a real problem affecting real people.",,"After getting through about 10ish questions, the next arrow would take me back to the setup page with the message: “There was a problem loading your game state: No game in progress found.” And, though not technically a glitch, when starting a new game, it seems like the questions aren’t random, but instead on a loop, meaning that we had to skip through them all until we got to just after where it crashed. Also, again not technically a glitch, but I found no use of the “How many topics per person?” prompt.",,1760717,"	The most we talked for one particular question was for “What do you think would be harder to handle -- major flooding or a long drought?” This one was interesting because it forced us to put ourselves in that situation and consider and weigh all possible cons of living in that environment, and like mentioned in the previous question, this added the humanity aspect of thinking, which is much more subjective than logical reasoning. In the end, we didn’t ever come to an agreement, which, also like mentioned before, made us discuss out reasoning further.
	My brother and one sister argued that a drought would be worse. In addition to the obvious hinderances of a drought, the knowledge that there is no foreseeable end (could potentially last years), that would create serious stress and mental problems. For example, not knowing if washing your hands now would result in you going thirsty for a day down the line. They further drove home the point by bringing up how difficult it is to cook food without running water.
	My other sister and I, conversely, argued that flooding would be worse. Although it is a relatively short-term problem compared to droughts, the effects are much more severe. Not showering for a month can be easily fixed, but putting half of your house underwater isn’t. With floods, you are likely stranded where you are, with no means of leaving. Depending on where, this could potentially lead to starvation/dehydration. And if you were to outlast the flood, you will likely face major property damage, such as water damages to homes (especially there is a basement below the storm drain system), dead cars/pets, spoiled food, etc."
11/27/2017 12:42:47,"For this conversation I talked with my mom, brother, and sister. So I was only talking with family. The conversation was serious in that we were all concerned about the future of global warming and how it is going to impact all of us and our future children. It was not serious though in that we did not have many differing opinions. I feel like we all talked and were able to come to conclusions for each question. This may be just because we are family and get along well and all have similar viewpoints. 

The conversation overall was pretty fun and educational. I was able to share with my family some of the things I have been learning in Global Warming and educate them on things happening around us everyday that they may have never even known about. My younger brother who is 14 definitely learned the most I think, and it was interesting to hear his take on everything. My mom had a lot of interesting points as well because she is older and has witnessed a lot more with climate change than me and my siblings have. ","The one thing I would change is to give more background information on events. For example, when it asked about carbon pollution I wish it gave more information on how carbon pollution negatively affects our environment and things we could do to try and fix it. Since I had prior knowledge from the class on a lot of the topics it was easier for the conversations to flow but I feel that if I hadn't had any knowledge some things would be harder to talk about or we would have to google it to find out more information.

Another thing I would like is to be able to take notes on the app about the conversations we were having. Sometimes we would have really good points and then the conversation kept flowing and we lost those points. I think being able to write down things as we go would help aid our conversation and make it more meaningful and impactful in the end. Also, I feel that writing stuff down makes you remember it better so maybe it would stick with us a bit more after the conversation ended. ",,"Yes, at first when I tried to do three topics per person it kept saying internal error. But it did eventually end up working. ",,1729754,"One of the questions that sparked the most conversation had to do with the drought in California. The question stated that large cities, agricultural industries, and dams all require lots of water, and asked how we would determine who gets how much water during a drought. I think this question sparked so much conversation because we honestly did not know the fairest way in which to divide the water amongst all of the industries. We talked about how the agriculture industry is very important to food production so we believed that held the highest priority. But, after that point we did not really know how to keep dividing the water in a fair manner. 

Another question that got our attention was ""Do winters feel different than they used to?"" We had to think about this a lot. We went through this past few winters and tried to remember if there was snow or not, how rainy it was and if we remember any power outages. We concluded that to our memory the past few winters have had a lot less snow than in previous years. We remembered a couple years back when school was cancelled for about 4-5 days. In recent years we haven't experienced much snow at all and haven't had school cancelled besides a few days. So we definitely agreed that winters have felt different now than in the past. 
"
11/27/2017 12:56:48,"I was talking with friends and family members of different ages and who lived in many different places around the world. Some of the questions were interesting which led to an interesting and though-provoking conversation. Slowly, throughout the conversation as we shared stories with one another, we realized that natural disasters really ground us and make us realize how small we are in an enormous world. The conversation made me realize that despite incidences that are not near us, they affect many people. For example, Hurricane Katrina did not directly affect me, but it did displace many families and we should keep that in mind. Natural Disasters can happen to anyone at anytime. ","I would add a notes section where we could write down the highlights of our conversation and then email it to ourselves so that we can look back on it and remind ourselves of the conversation we had and then how we can take steps to reduce the impact and harm that we emit on the earth. My group thought it was very interesting that the app brought insights from around the world that we were alive for but that we forgot because it sparked the notion that many people across the world face natural disasters and even if it does not affect us directly, we need to keep those areas in mind. ",,No,,1733363,"The questions that asked us to think of ourselves in someone else's perspectives or in our past, what was the longest journey we took, made us realize the privilege we have of cars and planes that we have to go such far distances, but that we have a large carbon footprint. We often do not think about our carbon footprint because it does not affect us regularly or in a dramatic way. But our transportation footprint is quite large and extraordinary, especially for a family of 4, we have a large carbon footprint and we need to realize and acknowledge that. Our conversation highlighted on this topic and then we strived to find ways that we could reduce our carbon footprint. We realized that since we live in the suburbs and our work or school is in the urban area, we have a large car carbon footprint. "
11/27/2017 13:20:18,"The conversation turned out to be humorous and fun but it left us thinking. Before we started the app, we didn’t this would be very serious. There were me, my girlfriend, my little sister and my dad.

As long as the questions went, we found that they’re very similar events that either happened or are happening right now and we started to take the conversation more serious. Like we all can tell if we experience the same events, but each have the different perspective on how and why these events ever happened. 
","For me personally, I would like it to have more of the scientific facts that have been confirmed so we can understand either what we’re saying is right or not. I think the app has done a good job of giving the problems and questions related the very specific events in each person’s timeline. The questions are provoking and helped take a lead for the conversation. 

I would think that adding some of the fun facts about climate change in any of these topics would make the conversation be more humorous. I have to give credits to the easy-to-follow questions; because friends and family don’t usually sit around and talk about climate change. 
",,"When I entered the players and proceeded to the next page, it showed up some kinds of error. I don’t remember exactly what I did but I did a couple clicks and it showed up the question.",,1772725,"The events and questions that made us talk about the most during conversation were about experiencing cold/ hot through different years. As mentioned, we all can tell if this summer was hotter than last year or not, and we all can observe the early snow this year in Seattle when it was just October, which was very unusual. The reason for us to discuss the most out of this because we all have different reason/ explanation for why it’s hotter/ colder. My dad said that the climate on average would very much to be the same; still the weather is very unpredictable, we and the environment always learn to be adapted. I remember that when I told them the early snow was due to global warming; they stopped me and went on arguing with me for a while. 

Also, we also talked much about how the “Global warming” or “climate change” has become a very conservative topic worldwide. It took us to discuss that it seems like only people with educational background will know about these topics. And with those who knows, we assumed that only the minimum of them will care about the topics or take actions to help prevent it. 

Overall, during each scenarios, we were likely to mention to role of government response to the impacts of weather. We came to discuss that either these events are good or bad, it’s the government to have best solution for people; and because the people won’t have enough power to change anything.  
"
11/27/2017 14:32:35,"The conversation was mostly lighthearted and fun. We all have the same ideas about climate change for the most part so there was a lot more agreement than disagreement. I had the conversation with my parents and a very good friend. We were all already in a good mood from the Thanksgiving break, so we mostly had positive things to say.
My parents generally had more to say about questions that asked about a change over time, since they've obviously been alive longer than us. However, there were a few questions none of us knew much about. Also, a few warranted just one word answers that didn't really spark a conversation. Other than that we had a good time discussing the topics that we had a knowledge of.","I would make it so that it is also available as an actual app instead of a website. On my phone, I was unable to go back to a previous question. I accidentally skipped a part of a question because it took too long for the screen to change.
I also think it would be interesting if there was more information available about the app, or if you could browse the topics that it gave you after you have finished. This way if there is a certain thing that we want to go over again, we would be able to find it on the app itself. It was also confusing when it was over because we had lost track of how many rounds we had done, and I thought there were technical difficulties because it said my game progress wasn't found, but we had in fact just finished the game. ",,,,1729404,"The topics that sparked the most conversation included droughts. We're all from Texas, so we recently experienced a pretty bad drought. We've all had to stop sprinkler usage at various points and have considered changing our grass to succulents.
Those questions took our conversation in a funny direction where my mother went on a tangent about how she had told my dad that we should dig up our yard and put cacti and gravel instead. Me and my friend found their little mini argument quite hilarious. I agreed with my mom's request because it gets so hot during the year that all the plants that are supposed to bloom or be green and pretty die anyways, and if the heat doesn't get them, the deer do.
We also had a good conversation about renewable energy. I am interested in going into the field and my parents have been considering getting solar panels on the roof of the house, so we are all big fans of it. Our next door neighbors have had solar panels for around ten years, and we discussed how envious we are of them."
11/27/2017 15:02:37,"I thought that the conversations that my friends and family had very very interesting because the questions sparked interesting conversations regarding our past, present and future. At first the conversations were lighthearted but with the questions that asked us to think about what would happen if we were put in a certain situation made us think about how fortunate we are to be where we are. The questions helped us realize that natural disasters really ground us and that natural disasters can happen to anyone at anytime. It reminded us that where we are at a certain moment is based on something greater. For example in the Pacific Northwest, we are due for an earthquake, but we continue with our lives, not worrying about it until it does directly affect us. 
The themes that recall moments from our lifetime such as Hurricane Katrina or when certain legislative laws were passed make us realize that climate change has been a concurrent issue and that the steps we take now affect how we, as in the global population will live in the future. The members in my conversation were from many different ages and we were all born and brought up in different areas but not we all live in the Pacific Northwest, but certain global natural disasters were on worldwide news which sparked interesting conversation about how our emissions and actions affect the global population. ","I would add a notes section to the app conversation so that people can write down points that they thought was interesting and then the notes can be email to each individual participating so that later on, after the conversation is over, people can look at the notes and identify important points from the discussion and then talk about what we ourselves can change within our lifestyle so that we can aid in decreasing our carbon footprint. The email serves as a reminder when we complete the conversation and continue with our busy lives that we need to change our ways regarding climate change and notice the effects that our emissions cause on the greater population. 
I would also add a back button to the app. With my family and friends, I opened the link on a computer and I was only able to move forward. However, a few times, my friend asked about what a previous question was because we often referred back to something. I think this would be helpful so that we can go back to certain questions and continue with our conversations. 
I like how the app was simple to navigate so that we could understand and begin the conversation with our friends and family. This helped so that when I talked about the app with my friends and family they could understand it, even if they were not that familiar with technology. After I would explain the app to them, they could get the link as well and have their own conversations with their family and friends. ",,No ,,1733363,"The questions that called us to think about a situation that we were not directly facing, to put ourselves in that perspective, or a situation where we needed to think about how climate change is a slow process and is often not talked about in the news were the most interesting in my conversations over the week. 
For example one of the questions that I had to discuss was about Hurricane Katrina and how that directly affected a girl from the Boy and Girls Club. She talked about how her house was destroyed and that she had to live in a trailer. She was thankful that she did not have to live in a tent. I was seven when Hurricane Katrina hit, and I was in the Pacific Northwest, although I was not directly affected by the hurricane, I had to think about what I would do in that situation. The natural disaster really reminded me that I am a small aspect of greater world. 
Another interesting situation was when my brother had to account the Californian drought and the effect that the intense rain had the following winter and how that affected the farmers following summer. My brother said that he remembered the Californian drought because our cousins who lived in California could not water their lawn, but he did not know that it affected farmers. I think that this also highlights that if the impact does not directly occur to us, we often do know know about and hence we are oblivious to it. I had to explain to him the impacts of the drought on farmers which I learned from my global warming class. But then our conversation turned to how the news should talk about these important issues more regularly so that we can truly understand what is happening around us. It is important to understand and stay on top of the issues in our world and then have the right information so that we can have informed view points before we begin advocating for a certain aspect. "
11/27/2017 18:26:06,"The conversation overall was pretty good. I don't think that there was an overall tone that I could qualify the conversation to be, as it was pretty much a mix of everything. There were jokes here and there, but also occasions where there was still some serious discussion around what was going on in the real world and how things are changing and how that will impact not only our lives but the lives of other people around the world. I did this with friends, so in other words people with the same sorts of interests as me and around the same age, so my sample is probably not the most representative.

I think also it's good to have a more lighthearted approach in certain times, as this is meant to be a game, after all. Of course I don't think that everything should be lighthearted as there are drastic consequences to events that are going on currently, but I also find value in just having a good time with people and talking about interesting issues is pretty neat.","While I certainly think that all of these issues are important and are something that people need to be talking about more in their daily lives, some of them were just not relatable at all and often times we didn't have much to go off of. For example, a question like ""Have you known someone who has gone through a devastating storm"" (I don't remember the question exactly but it was something like that) are hard to generate discussion around because neither myself nor none of the other people I was discussing this with knew anyone of the sort. 

I'm not really sure what to do to fix this, because there are going to be people who HAVE experienced or knew someone who has, and this would generate a lot of discussion, but just not for me. Maybe have more questions that are relatable to people living in Seattle? Or have a certain bank of questions based on the geography of where ever the game is being played so that questions are more relatable. Or, even better, let people take a quick survey that asks them about their general experiences and knowledge (multiple choice) and design an algorithm to narrow down the bank of questions to whichever is most relevant to the person's experiences.",,Not really.,,1372613,"There were a lot of questions that provide us with a lot of discussion, but one question in particular was the one that asked us about the kinds of challenges we faced whenever we were a part of a team. I just think that this is something that a lot of people can relate to, whether it be work or school projects where collaboration is heavily emphasized throughout our lives. So we spent a while discussing things that varied from frustrating group members who didn't do any work to how we resolve conflicts on a team. There were a lot of interesting dynamics that went on, and people had very different experiences and philosophies about what they thought was the most challenging for them on a team project or something of that sort. 

A particularly interesting question was the one about giving a river the same rights that a person has. This sort of delved into a tangent about philosophy and identity that like two people kept going on about but it was a super interesting question and I think that it's something that people have a lot of different opinions on and is just a quirky little thing to ask. I thought that question was probably the most interesting, even if it didn't bring the most relevant discussion to the table (we liked to go on tangents a lot)."
11/27/2017 19:40:51,"I talked to my Mom, Dad, and younger sister using the climate conversations app. Everyone put a lot of thought into their answers so the conversation was serious in the aspect of putting effort into their thoughts. However, in some of the hypothetical situations, some of their responses were a bit humorous due to their lack of knowledge on some of the topics, for example, storing carbon pollution in the ground.

 I feel like each member of my family found the questions and conversations that came out of them to be really interesting. Some of the questions were things that my family members hadn't thought of before, and to hear about their thought process was a cool experience.  Overall, I considered it to be a quality conversation, and it was awesome for me to be able to explain some concepts to them. ","I think another great way to improve this app would be to include some graphs or visuals with questions so that people playing the game can also see some of the implications about climate change along with the questions. I feel like sometimes when people can see as well as hear about information, they can understand it better and possibly formulate better questions or conversations. I liked that you can choose the number of topics that you discuss in a round, and that the questions are personal to a certain time period in your life. It was interesting to see what my family members could recall about climate change in the past and what they had no knowledge of. Overall, I think this game was really successful in sparking good conversations between people about climate change and global warming, and would encourage this activity to be used in the future. ",,"The first time I tried to ask questions it said ""Internal Server Error,"" but once I refreshed it the questions came up. ",,1731759,"Natural disasters definitely sparked the greatest conversation during our discussion. Specifically the topic of storms and hurricanes. After the hurricane Katrina question came up, we started talking about the unusual amount of hurricanes earlier this year. Soon into the conversation, the general consensus among my family members was that they thought the rise in number of hurricanes was because of global warming. I got to clear this misunderstanding up for them, explaining how we can't blame a specific event on global warming. Especially because hurricanes are rare events and the time we've been recording them is brief. I also explained that we do expect the intensity of hurricanes to increase due to global warming, but if anything, a decrease in their frequency. 

Another topic that led into the conversation was human's impact on global warming. They all believed that global warming has been increasing due to humans, but weren't sure how to answer the question of how society should tackle this problem. This question led into a conversation about human's CO2 emissions and possibilities of how to reduce them, for example the amount of fossil fuels being produced as well as deforestation/greenhouse gases in agriculture. 

The agriculture conversation was one that I brought up on my own after discussing CO2, mostly because the statistics we discussed in class completely surprised me and I wanted to see if they would have the same reaction. I told them about how much greater the energy and water demand is to produce meat, and how the food production is to be doubled in 100 years by the increased demand of meat alone. They were as shocked as I was, and we talked about how now we all understood more about the environmental reasoning behind being a vegetarian. 

These were the three topics that my family and I had the longest conversations about."
